pair,file,column,arm,min_ns,bytes
24,s4-frame-telemetry,struct-stringify,fold-on,701200,595115
25,s4-frame-telemetry,struct-stringify,fold-off,640200,595115
25,s4-frame-telemetry,struct-stringify,fold-on,657100,595115
26,s4-frame-telemetry,struct-stringify,fold-off,690600,595115
26,s4-frame-telemetry,struct-stringify,fold-on,693200,595115
27,s4-frame-telemetry,struct-stringify,fold-off,646600,595115
27,s4-frame-telemetry,struct-stringify,fold-on,700700,595115
28,s4-frame-telemetry,struct-stringify,fold-off,673500,595115
28,s4-frame-telemetry,struct-stringify,fold-on,656500,595115
29,s4-frame-telemetry,struct-stringify,fold-off,705100,595115
29,s4-frame-telemetry,struct-stringify,fold-on,676800,595115
30,s4-frame-telemetry,struct-stringify,fold-off,685000,595115
30,s4-frame-telemetry,struct-stringify,fold-on,703800,595115
31,s4-frame-telemetry,struct-stringify,fold-off,711300,595115
31,s4-frame-telemetry,struct-stringify,fold-on,736800,595115
32,s4-frame-telemetry,struct-stringify,fold-off,781100,595115
32,s4-frame-telemetry,struct-stringify,fold-on,711600,595115
33,s4-frame-telemetry,struct-stringify,fold-off,695500,595115
33,s4-frame-telemetry,struct-stringify,fold-on,811500,595115
34,s4-frame-telemetry,struct-stringify,fold-off,874200,595115
34,s4-frame-telemetry,struct-stringify,fold-on,888800,595115
35,s4-frame-telemetry,struct-stringify,fold-off,739700,595115
35,s4-frame-telemetry,struct-stringify,fold-on,711100,595115
36,s4-frame-telemetry,struct-stringify,fold-off,683500,595115
36,s4-frame-telemetry,struct-stringify,fold-on,712300,595115
37,s4-frame-telemetry,struct-stringify,fold-off,678900,595115
37,s4-frame-telemetry,struct-stringify,fold-on,646500,595115
38,s4-frame-telemetry,struct-stringify,fold-off,729600,595115
38,s4-frame-telemetry,struct-stringify,fold-on,659900,595115
39,s4-frame-telemetry,struct-stringify,fold-off,705300,595115
39,s4-frame-telemetry,struct-stringify,fold-on,701300,595115
40,s4-frame-telemetry,struct-stringify,fold-off,670900,595115
40,s4-frame-telemetry,struct-stringify,fold-on,671600,595115
41,s4-frame-telemetry,struct-stringify,fold-off,656800,595115
41,s4-frame-telemetry,struct-stringify,fold-on,669800,595115
1,twitter,dom-stringify,fold-off,242400,466906
1,twitter,dom-stringify,fold-on,265000,466906
2,twitter,dom-stringify,fold-off,231700,466906
