pair,file,column,arm,min_ns,bytes
5,twitter,dom-stringify,fold-off,282100,466906
5,twitter,dom-stringify,fold-on,281200,466906
6,twitter,dom-stringify,fold-off,269200,466906
6,twitter,dom-stringify,fold-on,270300,466906
7,twitter,dom-stringify,fold-off,390200,466906
7,twitter,dom-stringify,fold-on,289000,466906
8,twitter,dom-stringify,fold-off,262300,466906
8,twitter,dom-stringify,fold-on,277000,466906
9,twitter,dom-stringify,fold-off,255100,466906
9,twitter,dom-stringify,fold-on,275900,466906
10,twitter,dom-stringify,fold-off,294800,466906
10,twitter,dom-stringify,fold-on,300600,466906
11,twitter,dom-stringify,fold-off,276600,466906
11,twitter,dom-stringify,fold-on,267200,466906
12,twitter,dom-stringify,fold-off,278400,466906
12,twitter,dom-stringify,fold-on,270000,466906
13,twitter,dom-stringify,fold-off,297400,466906
13,twitter,dom-stringify,fold-on,285400,466906
14,twitter,dom-stringify,fold-off,271700,466906
14,twitter,dom-stringify,fold-on,262300,466906
15,twitter,dom-stringify,fold-off,261400,466906
15,twitter,dom-stringify,fold-on,284300,466906
16,twitter,dom-stringify,fold-off,286700,466906
16,twitter,dom-stringify,fold-on,278400,466906
17,twitter,dom-stringify,fold-off,267600,466906
17,twitter,dom-stringify,fold-on,264600,466906
18,twitter,dom-stringify,fold-off,271000,466906
18,twitter,dom-stringify,fold-on,260600,466906
19,twitter,dom-stringify,fold-off,379400,466906
19,twitter,dom-stringify,fold-on,276800,466906
20,twitter,dom-stringify,fold-off,242000,466906
20,twitter,dom-stringify,fold-on,257700,466906
21,twitter,dom-stringify,fold-off,247400,466906
21,twitter,dom-stringify,fold-on,249000,466906
1,twitter,struct-stringify,fold-off,267100,477706
1,twitter,struct-stringify,fold-on,252500,477706
2,twitter,struct-stringify,fold-off,331900,477706
2,twitter,struct-stringify,fold-on,266800,477706
3,twitter,struct-stringify,fold-off,325900,477706
3,twitter,struct-stringify,fold-on,379400,477706
4,twitter,struct-stringify,fold-off,278900,477706
4,twitter,struct-stringify,fold-on,280000,477706
5,twitter,struct-stringify,fold-off,270400,477706
5,twitter,struct-stringify,fold-on,254900,477706
6,twitter,struct-stringify,fold-off,241500,477706
6,twitter,struct-stringify,fold-on,265700,477706
7,twitter,struct-stringify,fold-off,262700,477706
7,twitter,struct-stringify,fold-on,276400,477706
8,twitter,struct-stringify,fold-off,254600,477706
8,twitter,struct-stringify,fold-on,268700,477706
9,twitter,struct-stringify,fold-off,240400,477706
9,twitter,struct-stringify,fold-on,251600,477706
10,twitter,struct-stringify,fold-off,270700,477706
10,twitter,struct-stringify,fold-on,260500,477706
11,twitter,struct-stringify,fold-off,281500,477706
11,twitter,struct-stringify,fold-on,260000,477706
12,twitter,struct-stringify,fold-off,254100,477706
12,twitter,struct-stringify,fold-on,249700,477706
13,twitter,struct-stringify,fold-off,271500,477706
13,twitter,struct-stringify,fold-on,277500,477706
14,twitter,struct-stringify,fold-off,245900,477706
14,twitter,struct-stringify,fold-on,244100,477706
15,twitter,struct-stringify,fold-off,251600,477706
15,twitter,struct-stringify,fold-on,256300,477706
16,twitter,struct-stringify,fold-off,268600,477706
16,twitter,struct-stringify,fold-on,271900,477706
17,twitter,struct-stringify,fold-off,261500,477706
17,twitter,struct-stringify,fold-on,257200,477706
18,twitter,struct-stringify,fold-off,243800,477706
18,twitter,struct-stringify,fold-on,242600,477706
19,twitter,struct-stringify,fold-off,269300,477706
19,twitter,struct-stringify,fold-on,261100,477706
20,twitter,struct-stringify,fold-off,240900,477706
20,twitter,struct-stringify,fold-on,259800,477706
21,twitter,struct-stringify,fold-off,234200,477706
21,twitter,struct-stringify,fold-on,232600,477706
